id,tweet,sentiment
25,"2015 - Firm nets \u20ac500,000 for hiring 72 jobless #JobsPlus #recovery #vinb #fg #Labour #ge16\n",5
26,.@smartvoteie you have me down as in favour of wind farms?  Check the record &amp; put it right or will be hell to pay!  Not so smart #GE16,1
27,On poster duty @amomcnally @1GaryGannon with @SocDems on O'CONNELL Street #socdems #GE16 #todaysor #vinb #liveline,5
28,Cancer services campaigners want new developments \u2018in writing #GE16 #SligoLeitrim,5
29,"Holed up in a Jury's Inn, AAA-PBP Senator Brigid McShame said we could learn a lot from a ban on colcannon. #ge16",2
30,@AnBurcach yet another lie!!! whats new though i say!!! such a nasty way to campaign #GE16,0
31,Noonan and Howlin risked economic recovery to deliver 'political budget' says EC report | Irish Examiner #GE16,4
32,"FF attack FG, FG attack FF, they'll both attack SF who will attack them &amp; Lab &lt;&lt; this is how we don't do negative campaigning here! #GE16",2
33,They might as well pledge free spaceships that run on Unicorn shit. #ge16,1
34,\u201cJust Announce The Fucking Election Date Already\u201d Nation Shouts At Taoiseach  #ge16 #news,2
35,Aoife Byrne has completed her WhichCandidate profile  #ge16 #wexford @fiannafailparty,5
36,@EamonTuffy great to meet up with Eamon Tuffy &amp; Cllr. Breeda Bonner @joannatuffytd #GE16 FUNDRAISER. Brilliant night,9
37,The devil is in the detail here. Some very interesting #GE16 stats.,7
38,A vote for both @sinnfeinireland and the Marxist 'People Before Profit' is a vote for abortion. #GE16 #Dublin,4
39,To the cost of the ordinary workers as you will find out shortly #ge16,2
40,@ABhoysVoice \n#Taoicher is clearly deluded and thinking wishfully.\n#GE16,1
41,Worst kept secret #ge2016 will be announced after #Lab Ard Fheis end of the week i.e. announcment on 2nd Feb election on 26th Feb,4
42,The @SocDems released their manifesto today #socdems #GE2016,6
43,500 hospital patients are on trolleys this lunchtime #GE16,2
44,Just 70 candidates from Fianna F\u00e1il in #GE16 Oh how the mighty have fallen #twip,2
45,Urge ALL my Irish followers 2 vote : Anti Austerity Alliance -People Before Profit did amazing job in Gov ! Elect M,9
46,"Labour promises are like tonight's snow, they make the headlines, but melt away very quickly. #GE16",1
47,Quite disappointed with the paltry amount of @FineGael candidates who have signed the @NWCI manifesto. #FemGen. #GE16,1
48,#peoplesdebate Decriminalize Drugs + use harm reductive strategy. Legalizing johnnys didn't glorify sex it just made it safer #vinb #GE16,4
49,Real republicanism from @oliver_moran #ge16 #CorkNC #VoteGreen2016,8
50,@berkieahern @ElaineByrne @EndaKennyTD @michael_lowry @FineGael Kenny Burton &amp; Co don't seem 2 C that THEIR policies have victims too #GE16,1
51,Independent #GE16 candidate @TommyRoddy has shared his election manifesto on Poleeto:,5
52,#BlueMonday #GE16  Don't let this corruption continue. Just check out local councillors salaries &amp; expenses #shame,0
53,"@Elin_A_Roberts @LeanneWood @daily_politics I have no recollection of Wales, Scotland or Northern Ireland voting to leave the UK.",2
54,@fb_fitz @SocDems @sinnfeinireland As important as the #ballyhea protest is a vote for @SocDems and @sinnfeinireland not an option. #GE16,3
55,"My Friend has 1 of these, will u take me if I wear it? @MurphyEoghan #GE16 @FineGael",6
56,Recovery for who? #Ireland challenged on it's child poverty record  #Jan23 #GE16,3
57,Richard Bruton 2009: \A govt who is lost in the wilderness will let us die because of their shame\ #GE16  #vinb,1
58,.@PaidiCole - on that basis if current Govt not returned we will have a hung D\u00e1il &amp; a chaotic period of uncertainty&amp; another election #GE16,2
59,Support for Ireland's ruling coalition falls as election looms: DUBLIN (Reute...  #Anonymous,5
60,A vote for Fianna Fail is a vote for Irish Water #GE16 #Right2Water #Right2Change,2
61,@PaulDonnellySF @thejournal_ie Sinn Fein activists useing multiple social media accounts will do that alright #ge16 #dubw,2
62,You had five years Kenny you failed #EndaOUT #GE16,0
63,@ebhodge @EndaCostello Hence the need for a no promises GE16 better not to try &amp; fool ppl,3
64,@PartAnnMarie Who else is running? I've totally lost track due to focusing on #GE16 Dail election. @LynnToWin @TomClonan,5
65,So what did they say they'd do? Here's an archive of political party manifestos and programmes for government:  #ge16,4
66,No women on the Fianna Fail ticket in Sligo Leitrim. No women on the Fine Gael ticket either. Several clowns on both though. #GE16,1
67,#labour #FG no show on #vinb #Peoplesdebate shows contempt for constituents Roll on #GE16 #VoteThemOut,1
68,"In our \look over there upcoming election\ #GE16 should media not be asking parties qs on #TTIP, #PublicBanking Plans to fix health service",3
69,Thank you @CormacDevlin for pledging as a #GE16 candidate for people with neuro conditions  Pledge  #800000minds,8
70,"Seeing as IRE is 'back on track, recovery,etc.' will FG/Lab/FF/SF abolish EMC &amp; extra Minister (who cost c.\u20ac1m) DoPER?\n#GE2016",2
71,"Tbf, imagine the damage that could be done to the national psyche if some randomer \misused\ a tune. There's no coming back from that. #ge16",2
72,Sinn F\u00e9in #GE16 campaign launch for #Cork NC this Thurs night. @JOBrien_SF @ThomasGouldsf working for #2Seats,5
73,#liveline If you thought the IMF #FF deal was bad Wait till LabouRNU has finished with #TTIPP,1
74,Bailed out the banks only to open food banks. 3 more to open in \recovering\ economy  #Jan23 #GE16 #vinb #not1home,0
75,Sure I may as well listen to #Enda. He might mess up and accidentally reveal the date of #ge16. #fgaf16,2
76,Martin\u2019s speech even more inward looking and irrelevant than I expecting - tell us what you\u2019d do Micheal!!! #af16 #ge16,1
77,Taoiseach needs to call #GE16 and let the people make their choice' \u2013 @GerryAdamsSF  #fgaf16,3
78,From the party that deliberately ran down the infrastructure in the first place #GE16,1
79,Where's the human element of the @FineGael closing #fgaf16 speech? What exactly will you do for R.Ireland if elected? #Mayo #Ge16,2
80,Apparently the people of Blackrock are ruled by their emotions not by their brain #GE16 fever has begun,1
81,"A message to all the Denis OBribe loving traitor scum at #fgaf16, we are going to wipe ye out in #GE16., like we did with FF last time.",0
82,"Tory style cuts headline, an ad for private hospitals &amp; an opinion piece slamming our public hospitals #smh #ge16",0
83,Irish Times completely undermining their reporting just weeks from am election ( \u0361\u00b0 \u035c\u0296 \u0361\u00b0),1
84,"Pretty sure for whom I'm voting in upcoming election, but yet to decide order of preferences. If you're not sure, use @smartvoteie #GE2016",7
85,.@Finianmcgrathtd thanks for committing to #RiseUp4Children \u2013 we hope you help make #childinequality a major issue for #GE16,8
86,#Ireland wake up #GE16\nthis is the way it should have been done\n#IneptUselessGovt \n,0
87,Stop the coronation. #GE16,1
88,The official @rtenews Twitter account for Election 2016 information on Dublin South-Central #dubsc #ge16,5
89,My Dad \ud83d\udc99 soaked but smiling #ge16,7
90,And encourage as many like minded people as possible to do likewise.! #GE16.!,6
91,"Green Party Candidates in all 40 constituencies #GE16 . We are back, onwards &amp; upwards. Now win our way back to the Dail #VoteGreen2016",8
92,This is the ONLY Labour Minister set to keep their seat after General Election         #GE16,4
93,Sinn F\u00e9in's @JOBrien_SF 1/80 to retain seat in #Cork North Central. @ThomasGouldsf fighting for seat at 10/11 #GE16,5
94,"#GE2016 #electBridSmith freezing cold canvass, warm reception on the doorstep. Team Brid rocks.",9
95,"Childcare, crime and health are the top three areas of concern on the doors in Dublin Fingal #GE16",5
96,@MarjFog Here's who's currently running in our constituency of #CWKK for #GE16 &gt;,5
97,"The #SocDems plan to reduce shortages, delays, and costs in the state health system is to make everything \free\. Good luck with that. #GE16",2
98,Enda sounding like a petulant child hiding something in his room #GE16,1
99,Getting ready to launch AAA-PBP Common Principles @RBoydBarrett @paulmurphyAAA @bridsmith @RuthCoppingerTD #GE16,6
100,power in Ireland religious fundamentalism  protect powerful old boy network from accountability #blizzard2016 #GE2016,0
101,Has @LPFactCheck now become @PopulistwatchIr ??? Both full of @LabourBullyBoys rhetoric #GE2016,1
102,We have lots of Ministers with titles that bear no relevance to what they actually do #MyHomelessFamily #ge16,2
103,#Finegael learn from #Fiannafail #GE16 elbow rush spectacle last weekend. No records broken to get on stage with #endakenny at #fgaf16,1
104,Enda Kenny 2011: \Fine Gael would not put more money into the banks unless there's burden-sharing..\ #GE16 #FGAF16,2
105,Make mental health an election issue for Ireland. Please RT @iaymh @yes4youth @YMHAction,6
106,The @AAA_IRE-@PB4P (AAA-PBP) candidates for the 2016 general election:  #ge16,5
107,"Show your support for RENUA Ireland, add a #Twibbon now!  #GE16",8
108,FF can't run an election campaign without Brit Torys\nHow can they be expect to run a country\nNo ambition for our island of Ireland\n#votewise,1
109,I'll be travelling from Dublin to support @BarbaraMSmyth - a real alternative in Longford/Westmeath #GE16,7
110,Are there ready made notices I can print off to keep @scottishlabour @scotlibdems and @ScotTories away from my front door? #ge2016,3
111,Prediction: All five Donegal seats will be filled by sitting TDs  @BreakfastNT  #GE16,5
112,"So true and it shows everyday they spin harder and harder, bring on #GE16",4
113,#FiannaFail are as irrelevant in #ge16 as they were in #ge11 - they've ruled themselves out of next govt. #twip,1
114,@Fuhrerious1488 Is that the day @CPP_Ireland register? Get a Cllr. elected? Get a TD elected? Get into Govt.? Twelfth of Never then. #GE16,2
115,Best wishes to the inimitable @mmccarthyTD will be travelling the high roads and by roads of Cork Southwest with him,9
116,@DonegalNowNews Thanks Paddy. \n#PaddyHarte #Harte4TD #Donegal #GE2016,8
117,FG used \u20ac1.4m of public cash for research on voters' moods  via @Independent_ie They know our mood = very late GE16,3
118,Men waving flags and satirical ads never changed anything \nsolutions needed #dublin #now #GE16,2
119,"If this article is true, will #Watercharges being abolished be a red line issue for entering in2  coalition?  #GE16",4
120,"\Step together boldly tread, /\nfirm each foot, erect each head.\\n(All about jobs.)\n#ge16",6
121,Lots of you clutching your pearls over the question of whether X will do business with Y after #GE16 .\nIt's known to non-naifs as politics.,3
122,Irish PM says not considering independent MPs for next coalition: DUBLIN (Reuters) - Ireland's senior coalitio...,5
123,Supporters staunch &amp; new. One thing in common - community comes first #GE16 campaign @MarkWall1 @pro_rur_ireland,8
124,Sligo Is Ready For Real Change\n\nA wonderful turnout for the launch of my general election campaign. #GE16,10
125,Burton promises abortion vote if Labour returns to power  []\n #ireland #news,5
126,"Speaking at a school in Swords, AAA TD Chimay Connelly repeated calls for enhanced sausage regulation. #ge16",3
127,Retweeted Pinky (@cncpinky):\n\nSelective amnesia #fgaf16 #EndaOUT,1
128,According to latest polls 27% still undecided. Great opportunity for @SocDems. Ppl tired of same old hash. #GE16,8
129,"Failure to tackle long term problems - chronic disease, poor planning, poorly insulated housing - we will tackle these #ge16 #voteGreen2016",7
130,Here is the alternative put People First Put People Before Profit #PBPA #GE16,7
131,"Speaking in a chipper in Cork, Sinn F\u00e9in TD Tiger Twomey said much could be learned from more magic roundabouts. #ge16",4
132,@ronanburtenshaw @1GaryGannon a #Socdems stalwart has already said they won't rule anyone in or out ahead of #GE16,5
133,@LabourCSC @CiaranLynchTD @corkcitycouncil whatever's you do don't get sick in Cork tonight! Lives at risk. Spin is cheap. #GE16 #FINEGAEL,3
134,"Sinn F\u00e9in Ard Chomhairle meets in Dublin Saturday to discuss D\u00e1il and Assembly elections, floods, housing #GE16",5
135,"@CathalMacCoille Labour party are gone, they looking for others to support them now in their power trip #ge16",2
136,"On the promise of anonymity, FF Councillor Spare Ribs McNamara accused opponents of ignoring solidarity with cows. #ge16",3
137,McGrath has mastered the strategy of leaflet drops  #GE16 #DBN,6
138,"#SinnFein Vote for Sinn F\u00e9in\u2019s progressive, republican vision for Wicklow and Ireland - Cllr\u2026",8
139,Apt for arrogant Enda Kenny.  About to relearn #FF lesson of last GE\n\n#GE16,1
140,Not true #VInb  right2change + 1YI are clearly offering an alternative #GE16 #Peoplesdebate,2
141,Enda's big election date tease. #GE16 #thatsFineGaelness,2
142,Support for Ireland's ruling coalition falls as election looms  #world #UM,5
143,And this is the recovery? People need to use their vote wisely for the #ge2016,2
144,"If @fiannafailparty had done all this when they were in goverment, we wouldn't have got in to the mess we were in \ud83d\ude1e\n\n#GE16 #ArdFheis #af16",1
145,The official @rtenews Twitter account for Election 2016 information on Dublin Mid-West #dubmw #ge16 #election2016,5
146,Don't forget #vinb #PeoplesDebate is being recorded tomorrow night in @FirgroveHotel ALL WELCOME from 7pm #ge16,6
147,We're ready to roll now for #EarnOurVote16 - our new #GE16 campaign. Off to the launch now.,7
148,"Emotive and empowering speech by @MichealMartinTD, looking forward to #GE16 and the campaign trail #Af16 #Equality4All",10
149,@fb_fitz @SocDems @sinnfeinireland #ballyhea is an important protest but there are much more fundamental matters in Ireland. #ge16,3
150,Pascal will do anything to get his face in the papers!   #GE16,1
151,The rain is doing a grand job of washing off the RTE makeup on the campaign trail \ud83d\ude02\ud83d\ude02\ud83d\ude02 #ge16,2
152,@DublinFoodCoop Hi - could you share this street meditation #climatechange #ge16 event?,6
153,@tonydoco To be honest I think NONE would pass the Fiscal council day one #GE16,2
154,It's a Tweeps party at the launch of @noelwhelan The Tallyman's Campaign Handbook #GE16,5
155,Now would be a good time to set out your 'independent opinion' stall if you consider yourself an Irish Journalist. #ge16,3
156,@Sharrow_ie @TheUSI thanks! Looking forward to mobilising students for #ge16! Hopefully everyone will use @smartvoteie and #MakeASmartVote,9
157,@donmyers365 @DCAWarriors guess who the unions will be supporting in #GE16? How can unions be championing the working class? I say NO to LAB,2
158,Two new #DirDemNCM @DDI candidates join #Galway election race #GE16 - Galway Bay FM,5
159,The S. Dems are running with the hare &amp; hunting with the hound\n Two faced as asual,1
160,Great to join forces with 1YI calling for citizen initiatives at the Green Party conference. #GE16 #VoteGreen2016,8
161,"Thank you @AnnNortonIND for pledging as a #GE16 candidate for people with neuro conditions  Pledge  #800,000minds",8
162,@Ukilkelly #UNCRC championing children's rights - requesting to decriminalize abortion prob not one of their main prerogatives #GE16,4
163,Fianna Fail general election team #GE16,5
164,@TalentCoop I am sure @fiannafailparty will take pains to clarify position for #GE16 @caulmick,3
165,They're saving \widespread\ for after #GE16,4
166,A young man speaks.\nSomething should be done.\nAll about jobs.\n#GE16,4
167,Sad to see FF starting #ge16 with negative tactics / personalised attacks. Guess who left the huge waiting lists . #altarboywithamnesia,0
168,@markohalloran You can run but you can't hide! #paddymanning #ge16,3
169,"\Put gender ahead of party loyalty, FG councillor tells voters\ #GE16 is so interesting in so many ways.",2
170,@limerickcityFG @FitzgeraldFrncs @FineGael you make me smile #GE16,9
171,"My #GE16 Election Launch, Jan 28th, Clare Daly, Brendan Ogle, Mick Wallace &amp; 1YI guest speakers. #vinb #rtept",5
172,Coming soon to a door near you #GE16 #Clare #McDonagh4Clare,7
173,The official @rtenews Twitter account for Election 2016 information on #dubbn. Full #ge16 coverage at:,5
174,New #GE16 blog launched today focusing on @dublinbaynorth @RenuaDBN @SocDems @IndepAlliance @cllrmobrien,5
175,"#CUSTARD won't share power with #FG \n#CUSTARD won't accuse u of having an agenda\n#CUSTARD gives you warm, fuzzy feelings.\n#VoteCustard #GE16",2
176,@SenatorKZappone lied about there being no room for @uglymugsie at #FEMPOWER. Don't vote for liars in #GE16,0
177,"Liar, will run back to Enda as soon as she gets a chance!!",0
178,@FineGael opting for UKIP colour scheme on election posters. Subconscious slip signals a return to extreme right for blueshirts?  #ge2016,1
179,that future problems are created by the present.  #VoteNoConfidence #GE2016,2
180,#rtenews is predicating outcome of #ge2016 with this line of questioning - inappropriate #journalism #drivetimeRTE #backItUp,2
181,People have no right to be saying anything negative. Every election is a new chapter in getting elected #af16 #ge16 #ge2016,3
182,Lots of these delivered today in Blanch Village...very positive response on the doors #dubw #GE16,7
183,@barbarascully Barbara any info re #carol4dl #ge16 manifesto around #MentalHealth policy /services ?,5
184,Spent convictions law will benefit tens of thousands of voters - final chance for TDs to #makehistory in advance of #ge2016 @Le_Cheile,6
185,Nothing can stop an idea whose time has come! #VoteGreen2016 #GE16,8
186,#RealityCheck: Are the Labour childcare promises realistic? #GE16,4
187,Support for Ireland's ruling coalition falls as election looms: DUBLIN (Reuters) - Support for Irela...  #Mercados,5
188,#vinb Leader of the Opposition @fiannafailparty's @michealmartintd will be talking to Mick Clifford about #af16 and #ge16,5
189,"@FineGael  the spin and lies ain't working its looking highly likely that fine gael are going out at #ge16 , im quite confident of that",2
190,@NgallagherPbp speaking today in #Sligo at the #Right2Water protest @PBPSligo Vote for anti irish water candidates,5
191,If I defy odds &amp; take #ge16 seat in #Cork East &amp; if half ppl who claim to have placed bets actually have I'll be financing a lot of holidays,8
192,Big crowd at #Cork City #Right2Water demonstration despite the awful weather. #WaterCharges firmly on #GE16 agenda.,7
193,Noel O'Flynn after his meeting with Micheal Martin #GE16,5
194,"Our reaction to @labour #GE16 childcare plan - big promises, but action still a long way off  #EarlyYears",3
195,@ElectionStatsIE @IrishPolMaps are Identity Ireland running any candidates in #GE16 ??,5
196,Hospitals telling people to please stay away is ludicrous - best little country in the world to live just make sure you don't get sick #GE16,1
197,Thanks to Michael O'Dowd @RENUAIreland for speaking at #Ourstateofmind candidates' debate. Will you make #mentalhealth a priority in #GE16 ?,7
198,We can have a General Election but can't vote on our Eurovision song now. @rtenews @rte #rtenews #GE16 #GE2016 #NickyByrne #Eurovision,2
199,Be the pro choice voice in your constituency!,7
200,@LucyHMRoche how many women did @AMDERMODY help evict in her legal representations of banks? #ge16,1
201,Politics: Greens announce giant pencil as candidate for Longford/Westmeath #GE16,2
202,"For any doubters in @rtenews &amp; other media orgs, this is from @nycinews #ge16 manifesto. @SaturdayRTE",4
203,THAT FEBRUARY SHOWER\nDon't be fooled by all those giddy giveaways @Independent_ie  #GE2016,2
204,Retweeted An Phoblacht (@An_Phoblacht):\n\nSligo on Sunday 7pm \u2013 #GE16 launch for @MacManusChris with...,5
205,I'm actually glad Irish politics has gone for negative campaign finally. Drop the pretence and get stuck into them. #GE16,8
206,#Ireland #GE16 opportunity to prioritise #mentalhealth,7
207,Ivan @NewstalkFM predicts cannon&amp;Keaveney 2 lose seats Calls it 1.Paul Connaughton 2.Sean Canney 3.#southgalway needs #TD #GE16 #vote 4 it,5
208,Leading FG TD hits out at female party colleague over gender quotas  via @Independent_ie no friendly fire Reggie,4
209,@jerrybuttimer please pledge your support for people with neuro conditions    #GE16 #800000minds #NAI #2016election,6
210,Ivan Yeats @BreakfastNT  predicts Cahill to take FF seat in Tipp #ge16,5
211,@GEAIreland Hi - could you share this street meditation #climatechange #ge16 event?,6
212,@KeithM We just checked our fab tax benefit on the   CALCULATOR under a RENUA FLAT TAX #GE16 #FGAF16,8
213,I couldn't see Mary Hanafin stepping into Enda Kenny's shoes in the next D\u00e1il.\n#ge16,3
214,"Govt initiative aims add 50,000 more jobs in 2016 #ge2016",6
215,Tipperary goes from 2 constituencies of 3 seats to a  5 seater in #GE16. Who loses out according to @pppolitics?,5
216,"73 families become homeless in Ireland every single month, not including hidden homeless. Let's prioritise it in upcoming election #homeless",2
217,Proud to be a part of East Wall on the march today. #GE16,9
218,FG/Labour \not running together\ in #ge16. Who believes this stuff?,2
219,The construction industry remains on the floor and faces great challenges. This needs to be addressed. #GE16 #Limerick,2
220,Full stop after leadership. Sorted.,6
221,Best canvassing scarf ever #Zara #ge16 #Canvassing #Citywest #DublinSW #snug,8
222,Let's all #MakeASmartVote this year. Get matched with candidates that match your views at  - now live for #GE16,7
223,@labour @joanburton deluded #ge16,1
224,No point in wasting more tax payers money on you #af16 GE16 @fiannafailparty 2/2,0
225,Investment and a national roll-out of broadband/mobile networks is urgently needed to help SME and agricultural development. #GE16 #Limerick,4
226,First out trans candidate stands for election in all Ireland: The first ever out transgender candidate in all ...,6
227,Micheal and his team could learn a lot from his party's founders - #GE16 #fail,2
228,@conor_hourigan More than will be said about Enda after #GE16 @annf5 @FineGael,4
229,"Enda obviously now supports \a culture of 'thanks very much, big fella'\ and of \obsessive attachment to power\.\n",1
230,"Thanks, should come in handy over the next few weeks! @netns_parents @Kildaretownetns",9
231,The Dos and Don'ts of the Fine Gael guide to canvassing @leeofthemail @mcdonoughnews @oconnellhugh #GE2016,5
232,".@labour promises \u20ac2-an-hour childcare, if elected  #GE16",5
233,Wouldn't this be impossible until after ge16 or give FF a claim of dirty tricks by government.,2
234,Those nasty Irish. They always vote for Democrats. We should get them out of this country or we're doomed!!!  #Trump1852,0
235,Enda Kenny 2009: \Hello. I believe in a fairer Ireland\ #thatsFineGaelness #GE16  #vinb,2
236,"Martin also defends \u20ac30k 'top up' from party funds for extra work he does as leader, says fully taxable #GE16  #ntfm",3
237,"@chrisrdonoghue extracted @BreakfastNT / Ivan projections: FG 56, FF 35, Lab 11, SF 24, Ind/Others 33  #ge16",5
238,@ryanfeehan09 campaign up and running. Got leaflet through door today #ge16,6
239,These good people know the story #GE16,7
240,#SiliconRepublic Every Irish adult on Facebook to be reminded to register for General Election 2016: Tomorrow ...,5
241,@teresaheeney will be on @galwaybayfm at 10:20am discussing #childcare #GE16 listen here,5
242,The old Bert Ahern trick? Chiming in with any and all criticism of his own government. \n#GE16,1
243,We need to promote County Limerick as a proper tourist destination #GE16 #Limerick #INDs4Gov,6
244,@NewstalkFM #ge16 I said you said!!! Must vulnerable people in our society suffer while these people score points. #dignity,0
245,"All the @RENUAIreland candidates and their probability of election, based on @pppolitics odds #GE16",5
246,"@carlosd6 yeah, first thing they did was cut the blind allowance, then respite care, then sick and poor got it in the neck. #marian #GE16",0
247,"Enda Kenny 2011: \With our 5 Point Plan and your help, we will get Ireland working\ #GE16 #thatsFineGaelness",2
248,@CorruptCER well LabouRNU will be stuffing boards till cows come home until #ge16 is done #cronyism buys votes &amp; labour don't mind @SIPTU,1
249,@bearyear @lstwrd he'll be coming back fully briefed having been told when to talk but mostly keep it shut #GE16,4
250,"Enda Kenny: \Apple employ 5,000 people in Ireland. They pay their taxes..no special deals done..\ #GE16",3
251,@ShameOfIreland @cassflower \nDon't want a new app TY... But Claire Daly &amp; Catherine Murphy figure prominently.\n#ge16 #politics,5
252,"Insidious exactly fits the agenda of LAB/FG #twip #ge16\n\proceeding in a gradual, subtle way, but with very harmful effects\",2
253,Coverage from @newrossstandard #canvassing #GE16,5
254,Anti-water charges leader promises \u2018the biggest protest in Ireland ever\u2019 before election  :,5
255,"If you're near a tranny in the morning, get an earful of Alan Kelly talking about himself.\nAll about jobs.\n#GE16",3
256,USI urges the next Government to hold a referendum to #repealthe8th and let people decide #MakeASmartVote #GE16,5
257,@MichealMartinTD @fiannafailparty @TerryTshannon @Tfitzgeraldcork @ODriscollTom #Dev This a great photo. #Ge16,9
258,"An Taoiseach Enda Kenny speaking, ahead of #GE16 #fgaf16",5
259,Housing policy Launch panel with @joefingalgreen @Costellop @LornaBogue @smytho \n#VoteGreen2016 #GE16,5
260,Why are so many Irish defeated before they start I hate that attitude of ah sure what's the use the next shower will fuck us too #GE16   1/2,0
261,Bullet found at Irish ruling party\u2019s convention as election looms:\n,4
262,Phil Hogan 2010: \A better system of govt.. real accountability for the taxpayer's money\ #GE16 #IrishWater,2
263,Interesting ... #early years #ge16 Would tackle costs to parents and quality,6
264,Great reception canvassing for @carrie_smyth today. @Labour women out in force. #GE16,8
265,Big #Limerick representation travelled to the @fiannafailparty Ard Fheis today in City West Dublin #af16 #ge16,7
266,Find out about the sector supports we're calling for in our #GE16 submission,6
267,"Wait, the messenger from the ELITES speaks.\n#Jan23 #right2water #Irishwater #fgaf16 #GE16 #Right2change #siteserv",3
268,\Decisions are better when they are informed by the people affected\ as seen during #Marref #GE16 looks interesting!,8
269,@DublinFoodCoop Hi - could you share this street meditation #climatechange #ge16 event?,7
270,Our priorities for the years ahead #socdems #ge16 #betterfuture,8
271,#ge2016 #independece #ShannonAirport The key thing independence = growth. Parties = stagnation.,7
272,@TheBriefing2016 In Ireland it was Fine Gael last Election.,5
273,@rtenews @EndaKennyTD its early in spring #GE16,5
274,"Upcoming #GE16 debate in Waterford, only 1 catch you can,t enter to particulate in audience unless you re a member of d business community.",3
275,Unity on the left. Oh wait.. #ge16  ,2
276,At launch by @StartStrongIrl of their Early Years #ge16 campaign #Accessible #Affordable #Quality,6
277,"Now they say the Irish are great at talking the aul blarney..here it is, at it finest.\n@agentathcliath @molloy1916 \n",3
278,Politicians ask do we want people we didn't vote for making decisions regarding EU membership. Looking at Northern Ireland Politicians-Yes,3
279,Please RETWEET MY POSTS!!  and FOLLOW ME!! on Facebook to support my #GE16 campaign @RENUAIreland,8
280,We Come One  via @YouTube #2016 #NewRising #NewBeginning #Faith #GE16 @sinnfeinireland the power to begin again in u.,10
281,@jackiecahillff if social media has an influence on #GE16 consider this #FG #Labour govt #homeless,4
282,On radio Michael Noonan referred to recovery as being \modest\. \Modest and Fragile Recovery\ will be a winning theme for  campaign #ge16,2
283,Gradually entering election mode in Dublin #GE16,6
284,"Well done to @itsligosu, @TheUSI &amp; students.\n\n80,000 more students registered for #GE16 -",9
285,"Mice, cockroaches &amp; bed bugs urging support for Fine Gael &amp; Labour to be returned at #ge16   #rtept #vinb #todaysor",1
286,"@GE2016 No More #Quangos... unless, well, we want appoint someone we want...",1
287,When you have money you go and fix things.' - @FerrisMartin #ntlt #GE16,6
288,"#twip why would Irish expats return, they have internet abroad so I'm pretty sure they've read about the dire health system we have. #GE16",2
289,Paddy Manning\u2026 can't stop laughing. please let his votes be under 100. #ge2016,9
290,Election 2016:  Get ready to be hit by a digital deluge  via @IrishTimesOpEd #ge16 goes #digital,5
291,SF called to my house last night. \We're canvassing for Sinn Fein.\ Not a mention of candidate's name. I laughed #vinb #ge16,4
292,"Smart vote , 3 candidates in Waterford #GE16 want 2 retain #Irishwater @PaudieCoffey @ciaramconway @4_JohnDeasyTD",3
293,I highly doubt Mary Hanafin will be too perturbed by all the recent headlines. She's being made to look like quite a powerful figure #GE16,2
294,100 years of independence will be celebrated on election year in Ireland. We don't celebrate independence but 1994 thina.,5
